[EE__x(t) = .137678, EE__y(t) = .67421863249, EE__angle(t) = -.01042379037]
[EE__x(t) = .138599, EE__y(t) = .67412006993, EE__angle(t) = -.01018694736]
[EE__x(t) = .139448, EE__y(t) = .67401662738, EE__angle(t) = -.009955067567]
[EE__x(t) = .140224, EE__y(t) = .67390825482, EE__angle(t) = -.009702106653]
[EE__x(t) = .140931, EE__y(t) = .67379236227, EE__angle(t) = -.009406058766]
[EE__x(t) = .141566, EE__y(t) = .67366641971, EE__angle(t) = -.009046865188]
[EE__x(t) = .142132, EE__y(t) = .67352867716, EE__angle(t) = -.008607302935]
[EE__x(t) = .142635, EE__y(t) = .6733810846, EE__angle(t) = -.00807323152]
[EE__x(t) = .143068, EE__y(t) = .67322789205, EE__angle(t) = -.007442522952]
[EE__x(t) = .14343, EE__y(t) = .6730733595, EE__angle(t) = -.006718640935]
[EE__x(t) = .143712, EE__y(t) = .67291962694, EE__angle(t) = -.005912320858]
[EE__x(t) = .143916, EE__y(t) = .67276611439, EE__angle(t) = -.005038469364]
[EE__x(t) = .144045, EE__y(t) = .67261002183, EE__angle(t) = -.004120997889]
[EE__x(t) = .144098, EE__y(t) = .67244712928, EE__angle(t) = -.003187554484]
[EE__x(t) = .144084, EE__y(t) = .67227323672, EE__angle(t) = -.002268586437]
[EE__x(t) = .144, EE__y(t) = .67208590417, EE__angle(t) = -.001395409666]
[EE__x(t) = .143851, EE__y(t) = .67188425161, EE__angle(t) = -.0005985067287]
[EE__x(t) = .143632, EE__y(t) = .67167115906, EE__angle(t) = 9.319697653e-005]
[EE__x(t) = .143344, EE__y(t) = .6714505665, EE__angle(t) = .000658105305]
[EE__x(t) = .142985, EE__y(t) = .67122504395, EE__angle(t) = .001079187888]
[EE__x(t) = .142555, EE__y(t) = .67099514139, EE__angle(t) = .001350589566]
[EE__x(t) = .142059, EE__y(t) = .67075961884, EE__angle(t) = .001472963508]
[EE__x(t) = .141499, EE__y(t) = .67051718229, EE__angle(t) = .001461361474]
[EE__x(t) = .140878, EE__y(t) = .67026735373, EE__angle(t) = .001337797053]
[EE__x(t) = .140197, EE__y(t) = .67001061118, EE__angle(t) = .001134523121]
[EE__x(t) = .139464, EE__y(t) = .66974766862, EE__angle(t) = .000888383064]
[EE__x(t) = .138674, EE__y(t) = .66948002607, EE__angle(t) = .0006414047325]
[EE__x(t) = .137831, EE__y(t) = .66920869351, EE__angle(t) = .0004368023633]
[EE__x(t) = .136926, EE__y(t) = .66893408096, EE__angle(t) = .0003137732343]
[EE__x(t) = .135964, EE__y(t) = .6686549684, EE__angle(t) = .0003079944653]
[EE__x(t) = .134942, EE__y(t) = .66836958785, EE__angle(t) = .0004430807971]
[EE__x(t) = .133856, EE__y(t) = .66807730329, EE__angle(t) = .0007352393753]
[EE__x(t) = .132705, EE__y(t) = .66777897074, EE__angle(t) = .001182905599]
[EE__x(t) = .131488, EE__y(t) = .66747637818, EE__angle(t) = .001775051491]
[EE__x(t) = .130203, EE__y(t) = .66717023563, EE__angle(t) = .002482928858]
[EE__x(t) = .128853, EE__y(t) = .66685969307, EE__angle(t) = .003269435465]
[EE__x(t) = .127432, EE__y(t) = .66654325052, EE__angle(t) = .004086112056]
[EE__x(t) = .125945, EE__y(t) = .66621933797, EE__angle(t) = .004880448226]
[EE__x(t) = .124388, EE__y(t) = .66588814541, EE__angle(t) = .005600257267]
[EE__x(t) = .122764, EE__y(t) = .66555090286, EE__angle(t) = .006195917919]
[EE__x(t) = .121071, EE__y(t) = .6652080603, EE__angle(t) = .006632094226]
[EE__x(t) = .119306, EE__y(t) = .66485917775, EE__angle(t) = .006883048848]
[EE__x(t) = .117471, EE__y(t) = .66450346519, EE__angle(t) = .006948909577]
[EE__x(t) = .115564, EE__y(t) = .66414155264, EE__angle(t) = .006844454096]
[EE__x(t) = .11359, EE__y(t) = .66377606008, EE__angle(t) = .0066153671]
[EE__x(t) = .111546, EE__y(t) = .66341013753, EE__angle(t) = .006322905006]
[EE__x(t) = .109431, EE__y(t) = .66304497497, EE__angle(t) = .006053972147]
[EE__x(t) = .107248, EE__y(t) = .66267908242, EE__angle(t) = .005906547511]
[EE__x(t) = .104998, EE__y(t) = .66230898986, EE__angle(t) = .005989115554]
[EE__x(t) = .102687, EE__y(t) = .66193278731, EE__angle(t) = .006411903316]
[EE__x(t) = .100316, EE__y(t) = .66155040476, EE__angle(t) = .007273140758]
[EE__x(t) = .097886, EE__y(t) = .6611641122, EE__angle(t) = .008660543451]
[EE__x(t) = .095399, EE__y(t) = .66077692965, EE__angle(t) = .01062578989]
[EE__x(t) = .092855, EE__y(t) = .66038892709, EE__angle(t) = .01319839493]
