-.2914243280+.4200155248e-1*I,.5604745025+.5105362356e-1*I,-1.047197551+.1541419372*I
-.2309267147,.6707830544,-.7536240503
-.2106301129,.7322265722,-.6020064979
-.2016337467,.7799344552,-.4883013333
-.1982960554,.8207641197,-.3923707282
-.1986230225,.8571393276,-.3071936206
-.45408687e-1,.4846789985,-.6711344245e-1
-.54176374e-1,.5107943624,-.2617603245e-2
-.64202863e-1,.5353796309,.5954404938e-1
-.75366851e-1,.5585822509,.1198263537
-.87576432e-1,.5805139329,.1785923817
-.100761310,.6012601246,.2361410395
-.114867695,.6208862083,.2927255215
-.129854879,.6394416656,.3485662213
-.145692908,.6569629053,.4038601638
-.38724906e-1,.5057502515,-.1298453419
-.46173632e-1,.5334688355,-.6264645498e-1
-.55031449e-1,.5594746460,.1673948531e-2
-.65138677e-1,.5839617747,.6369473760e-1
-.76376336e-1,.6070748450,.1238633729
-.886541972e-1,.6289235314,.1825378261
-.1019032243,.6495917493,.2400133908
-.1160706098,.6691436860,.2965406688
-.1311164394,.6876278580,.3523381996
-.351479853e-1,.5248646773,-.1989315448
-.410102498e-1,.5545116333,-.1281748024
-.484954839e-1,.5821858428,-.6105400608e-1
-.573853181e-1,.6081527349,.3204372235e-2
-.675212554e-1,.6326049681,.6517534214e-1
-.787851297e-1,.6556861729,.1253037732
-.910873043e-1,.6775053064,.1839458463
-.1043591872,.6981457424,.2413955798
-.1185483179,.7176712470,.2979026677
-.353437587e-1,.5413584798,-.2762123200
-.392212892e-1,.5734179159,-.2006019400
-.450431868e-1,.6031139408,-.1297506945
-.524939839e-1,.6308300078,-.6255624174e-1
-.613536159e-1,.6568336117,.1760640659e-2
-.714624718e-1,.6813187619,.6377860107e-1
-.827016168e-1,.7044300269,.1239449561
-.949808558e-1,.7262770389,.1826175722
-.1082311775,.7469436821,.2400916687
-.403320397e-1,.5541693353,-.3646623289
-.415808737e-1,.5894239989,-.2820621636
-.452974648e-1,.6216790597,-.2060409030
-.509872080e-1,.6515357190,-.1348789914
-.583254389e-1,.6793886124,-.6744265782e-1
-.670864646e-1,.7055120745,-.2933800202e-2
-.771069913e-1,.7301045905,.5923829838e-1
-.882655417e-1,.7533138189,.1195290304
-.1004700859,.7752516235,.1783018512
-.518653443e-1,.5613859177,-.4696919665
-.493041443e-1,.6012717436,-.3760998633
-.501788517e-1,.6369811636,-.2924609834
-.536052179e-1,.6695889977,-.2156927345
-.590577008e-1,.6997340513,-.1439681377
-.661945061e-1,.7278317812,-.7609480178e-1
-.747795409e-1,.7541691631,-.1123966140e-1
-.846427489e-1,.7789529030,.5121022756e-1
-.956580076e-1,.8023363047,.1117250658
-.736448932e-1,.5587841548,-.6034243016
-.645660159e-1,.6065923318,-.4894521152
-.611791323e-1,.6474817908,-.3933723980
-.614717623e-1,.6838987350,-.3080981929
-.644513577e-1,.7170496278,-.2301652899
-.695412785e-1,.7476353809,-.1575689039
-.763719502e-1,.7761052223,-.8902132341e-1
-.846906351e-1,.8027663570,-.2363335169e-1
-.943165613e-1,.8278385172,.3924332016e-1
-.1187983107,.5307595028,-.8115850115
-.923633085e-1,.5996643540,-.6386127938
-.811200758e-1,.6501033428,-.5175724480
-.764857505e-1,.6925090876,-.4176755632
-.759221587e-1,.7299667862,-.3299556767
-.782552181e-1,.7639035536,-.2503071590
-.828262721e-1,.7951199998,-.1764389396
-.892223818e-1,.8241180576,-.1069140211
-.971653389e-1,.8512358966,-.4075692080e-1
-.1762669283+.8338985016e-1*I,.4912175593+.1013618252*I,-1.047197551+.3026070709*I
-.1588898597,.5491123315,-.9163255523
-.1173647912,.6363594237,-.6896586619
-.1025272258,.6911673861,-.5566466900
-.960002846e-1,.7358736397,-.4508385019
-.941910934e-1,.7748453857,-.3594825312
-.956065177e-1,.8098975547,-.2773416513
-.994531063e-1,.8419946003,-.2016524662
-.1052495639,.8717215472,-.1307415727
.17263687e-1,.4850902576,.4841277641e-1
.6298600e-2,.5085346435,.1090069743
-.5726973e-2,.5306899916,.1680244240
-.18739253e-1,.5516459792,.2257740956
-.32681749e-1,.5714712733,.2825163925
-.47511577e-1,.5902179993,.3384768808
-.63196967e-1,.6079247747,.3938562397
-.79715574e-1,.6246187610,.4488378058
-.97053367e-1,.6403170116,.5035935942
